faculty_id	first_name	last_name
1	Elladine	Blampied
2	Tersina	Huzzey
3	Cooper	Gossart
4	Madelena	Greensitt
5	Quinton	Asman
6	Kathi	Meus
8	Lucais	Aleshkov
9	Tate	Sichardt
10	Marion	Bastable
11	Nefen	Chaffer
12	Alessandra	Dominguez
14	Michal	Linebarger
15	Benn	Rowlett
17	Lyman	Coneybeer
18	Elli	Hachette
19	Silvain	Baiden
20	Star	Arkin
21	Dwight	Bate
22	Huntlee	Coton
23	Mic	Grievson
24	Merrick	Balcock
25	Salvidor	Smallcombe
26	Anna	Pering
27	Billie	Bowland
28	Elene	Collison
29	Bat	Bruce
30	Hettie	Gosson
31	Pren	Cottesford
32	Royall	Offen
33	Harwell	Landsberg
34	Casey	Double
35	Tripp	Winmill
36	Link	Reisenstein
37	Vallie	Blamire
38	Langston	Beamand
39	Joanne	Tancock
41	Joshuah	Piet
42	Griselda	Kenyon
43	Jammal	Pengilly
44	Natassia	Linkie
45	Craggie	Jahnisch
46	Karlee	Heller
47	Horatio	Dorber
49	Eleonora	Wanless
50	Adoree	Godfrey
51	Emiline	Lamerton
52	Cristi	Brownlea
54	Jeniece	Gynni
55	Howie	Deniskevich
56	Kari	Wyman
57	Ginni	MacKay
58	Lynde	Ollander
59	Peterus	Gregol
60	Gibb	Chapellow
61	Magdalene	Blasio
62	Lissa	Yarranton
63	Mace	Eble
64	Clarabelle	Croall
65	Antony	Martill
66	Orelee	Coatts
67	Ibby	Bostick
68	Damara	MacDermot
69	Tanny	Crayton
70	Richard	Glanders
71	Jessamine	Beese
72	Woodrow	Crawcour
73	Silvie	Fido
74	Rania	Westmore
75	Fanechka	Tattersill
76	Shannon	Dooley
77	Rustin	Flewan
78	Casey	Crombleholme
79	Barry	Orhrt
80	Dolorita	Shewen
81	Robbie	Potkins
82	Gizela	Dunsmore
85	Ricard	Varnam
86	Marys	Scedall
87	Gearard	Irvin
96	Tuesday	Chandlar
97	Jeni	Deniseau
102	Irena	Bewley
103	Ky	Pitcaithly
104	Agnola	Gallally
105	Yancy	Cleobury
106	Brigit	McKie
107	Moyra	Longhurst
108	Charla	Ondrus
109	Emile	MacTrustie
110	Ilyssa	Tatterton
111	Frannie	Heliar
112	Caz	Balke
113	Evelyn	MacTerlagh
114	Genevra	Jaimez
115	Katrine	Hardern
116	Federica	Brotherheed
117	Ardys	Pullar
118	Percy	Gallihawk
119	Bernardina	Longstreeth
120	Wyn	Hartright
121	Ben	Hurd
122	Alfred	Kanwell
123	Mickie	Linden
124	Flss	Hallatt
125	Gerri	Jeremaes
126	Tann	Lemery
127	Marys	Beauchamp
128	Holly-anne	Pensom
